identifier,type,properties
22200477,game,"{""pts home"" : 126, ""pts_away"" : 117, ""winning_team"" : 1610612740}"
22200478,game,"{""pts home"" : 120, ""pts_away"" : 112, ""winning_team"" : 1610612762}"
22200466,game,"{""pts home"" : 114, ""pts_away"" : 106, ""winning_team"" : 1610612739}"
22200467,game,"{""pts home"" : 113, ""pts_away"" : 93, ""winning_team"" : 1610612755}"
22200468,game,"{""pts home"" : 108, ""pts_away"" : 110, ""winning_team"" : 1610612741}"
22200469,game,"{""pts home"" : 112, ""pts_away"" : 117, ""winning_team"" : 1610612754}"
22200470,game,"{""pts home"" : 143, ""pts_away"" : 113, ""winning_team"" : 1610612751}"
22200471,game,"{""pts home"" : 106, ""pts_away"" : 113, ""winning_team"" : 1610612761}"
22200472,game,"{""pts home"" : 110, ""pts_away"" : 116, ""winning_team"" : 1610612753}"
22200473,game,"{""pts home"" : 99, ""pts_away"" : 104, ""winning_team"" : 1610612742}"
22200474,game,"{""pts home"" : 101, ""pts_away"" : 98, ""winning_team"" : 1610612760}"
22200475,game,"{""pts home"" : 134, ""pts_away"" : 120, ""winning_team"" : 1610612758}"
22200476,game,"{""pts home"" : 126, ""pts_away"" : 105, ""winning_team"" : 1610612746}"
