player_name,current_season,change_indicator,streak_identifier
Michael Jordan,1996,0,0
Michael Jordan,1997,0,0
Michael Jordan,1998,1,1
Michael Jordan,1999,0,1
Michael Jordan,2000,0,1
Michael Jordan,2001,1,2
Michael Jordan,2002,1,3
Michael Jordan,2003,1,4
Michael Jordan,2004,0,4
Michael Jordan,2005,0,4
Michael Jordan,2006,0,4
Michael Jordan,2007,0,4
Michael Jordan,2008,0,4
Michael Jordan,2009,0,4
Michael Jordan,2010,0,4
Michael Jordan,2011,0,4
Michael Jordan,2012,0,4
Michael Jordan,2013,0,4
Michael Jordan,2014,0,4
Michael Jordan,2015,0,4
Michael Jordan,2016,0,4
Michael Jordan,2017,0,4
Michael Jordan,2018,0,4
Michael Jordan,2019,0,4
Michael Jordan,2020,0,4
Michael Jordan,2021,0,4
Michael Jordan,2022,0,4
